nome,tecnologia,outrosDetalhes
"Vencida, Desenvolvimento Web Plataforma .NET, Linguagem C#, MVC, HTML, CSS, Visual Studio e SQL Server. ","CSS,HTML,SQL Server,ASP.NET,C#,JavaScript","SPOBRAS,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .Net Sênior","C#,C++,.NET,PHP,SQL Server","Kinp,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Web Pleno","Vue.js,SQL,RESTful,PHP,Laravel,API","DANTEL Negócios e Serviços em TI EIRELI,Remoto,Pequena/média empresa,Até R$5.000,Pleno,PJ / CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) (PHP / CakePHP / Ionic / Angular)","Angular,CakePHP,Ionic,Node.js,PHP","4TH DIMENSION SOLUTIONS LTDA,Remoto,Pequena/média empresa,Até R$5.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Sênior ","CSS,Java,ReactJS,SQL","JEXPERTS TECNOLOGIA SA,Florianópolis, Santa Catarina, Brasil,Pequena/média empresa,Até R$8.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Javascript / Vue.js - Pleno","Vue.js,CSS,Google Cloud,JavaScript,SCSS","Swiss Vision,Remoto,Pequena/média empresa,Até R$5.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) NodeJS","Cloud,Docker,Node.js,TypeScript","OnlineApp,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Fullstack NodeJS/Angular Sênior","Angular,Blockchain,Docker,MongoDB,NextJS,Node.js","Inkluziva,Brasília, Distrito Federal, Brasil,Pequena/média empresa,Acima de R$18.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP","JavaScript,Laravel,Node.js,PHP,Symfony","Ateliê de Propaganda,São Paulo, São Paulo, Brazil,Pequena/média empresa,Até R$6.000,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .NET Front-End","API,ASP.NET,C#,JavaScript,Angular,Node.js","MD Delivery Transportes Ltda,São Paulo, São Paulo, Brasil,Grande empresa,Até R$10.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Mobile","Android Studio,SQLite,API,Flutter,Git,React Native","MD Delivery Transportes Ltda,São Paulo, São Paulo, Brasil,Grande empresa,Até R$10.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React Pleno","CSS,HTML,ReactJS,React Native,TypeScript,Styled-Components","WeFit,Remoto,Pequena/média empresa,Até R$10.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Fullstack .Net e React",".NET,ReactJS,Azure","Deal Tecnologies,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack PJ","Cloud,JavaScript,MySQL,C#","Collinson Consultoria em Fidelização Ltda.,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Angular + Java","Angular,API,Java,SQL","Presence Serviços,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) Delphi Sênior","Delphi,SQL,API","Presence Serviços,Remoto,Startup,Até R$12.000,Sênior,PJ,Aceita candidatos de fora"
